dep;jour;n_dose1;n_complet;n_cum_dose1;n_cum_complet;couv_dose1;couv_complet
00;2020-12-27;0;0;0;0;;
00;2020-12-28;0;0;0;0;;
00;2020-12-29;0;0;0;0;;
00;2020-12-30;0;0;0;0;;
00;2020-12-31;0;0;0;0;;
00;2021-01-01;0;0;0;0;;
00;2021-01-02;0;0;0;0;;
00;2021-01-03;0;0;0;0;;
00;2021-01-04;0;0;0;0;;
00;2021-01-05;0;0;0;0;;
00;2021-01-06;0;0;0;0;;
00;2021-01-07;0;0;0;0;;
00;2021-01-08;0;0;0;0;;
00;2021-01-09;0;0;0;0;;
00;2021-01-10;0;0;0;0;;
00;2021-01-11;0;0;0;0;;
00;2021-01-12;0;0;0;0;;
00;2021-01-13;0;0;0;0;;
00;2021-01-14;0;0;0;0;;
00;2021-01-15;0;0;0;0;;
00;2021-01-16;0;0;0;0;;
00;2021-01-17;0;0;0;0;;
00;2021-01-18;0;0;0;0;;
00;2021-01-19;0;0;0;0;;
00;2021-01-20;0;0;0;0;;
00;2021-01-21;0;0;0;0;;
00;2021-01-22;1;0;1;0;;
00;2021-01-23;0;0;1;0;;
00;2021-01-24;0;0;1;0;;
00;2021-01-25;0;0;1;0;;
00;2021-01-26;0;0;1;0;;
00;2021-01-27;1;0;2;0;;
00;2021-01-28;1;0;3;0;;
00;2021-01-29;1;0;4;0;;
00;2021-01-30;0;0;4;0;;
00;2021-01-31;0;0;4;0;;
00;2021-02-01;0;0;4;0;;
00;2021-02-02;0;0;4;0;;
00;2021-02-03;0;0;4;0;;
00;2021-02-04;0;0;4;0;;
00;2021-02-05;1;0;5;0;;
00;2021-02-06;1;0;6;0;;
00;2021-02-07;0;0;6;0;;
00;2021-02-08;0;1;6;1;;
00;2021-02-09;0;1;6;2;;
00;2021-02-10;1;0;7;2;;
00;2021-02-11;1;0;8;2;;
00;2021-02-12;0;0;8;2;;
00;2021-02-13;0;0;8;2;;
00;2021-02-14;0;0;8;2;;
00;2021-02-15;0;0;8;2;;
00;2021-02-16;0;0;8;2;;
00;2021-02-17;0;0;8;2;;
00;2021-02-18;0;0;8;2;;
00;2021-02-19;0;0;8;2;;
00;2021-02-20;0;0;8;2;;
00;2021-02-21;0;0;8;2;;
00;2021-02-22;0;0;8;2;;
00;2021-02-23;0;0;8;2;;
00;2021-02-24;2;1;10;3;;
00;2021-02-25;0;0;10;3;;
00;2021-02-26;0;0;10;3;;
00;2021-02-27;0;0;10;3;;
00;2021-02-28;0;0;10;3;;
00;2021-03-01;1;0;11;3;;
00;2021-03-02;0;0;11;3;;
00;2021-03-03;0;0;11;3;;
00;2021-03-04;1;0;12;3;;
00;2021-03-05;0;0;12;3;;
00;2021-03-06;0;0;12;3;;
00;2021-03-07;0;0;12;3;;
00;2021-03-08;0;0;12;3;;
00;2021-03-09;0;0;12;3;;
00;2021-03-10;0;0;12;3;;
00;2021-03-11;0;0;12;3;;
00;2021-03-12;0;0;12;3;;
00;2021-03-13;0;0;12;3;;
00;2021-03-14;0;0;12;3;;
00;2021-03-15;0;0;12;3;;
00;2021-03-16;0;0;12;3;;
00;2021-03-17;0;0;12;3;;
00;2021-03-18;0;0;12;3;;
00;2021-03-19;0;0;12;3;;
00;2021-03-20;0;0;12;3;;
00;2021-03-21;0;0;12;3;;
00;2021-03-22;1;0;13;3;;
00;2021-03-23;1;0;14;3;;
00;2021-03-24;0;0;14;3;;
00;2021-03-25;0;0;14;3;;
00;2021-03-26;1;0;15;3;;
00;2021-03-27;0;0;15;3;;
00;2021-03-28;0;0;15;3;;
00;2021-03-29;0;0;15;3;;
00;2021-03-30;0;0;15;3;;
00;2021-03-31;1;0;16;3;;
00;2021-04-01;0;0;16;3;;
00;2021-04-02;1;0;17;3;;
00;2021-04-03;0;0;17;3;;
00;2021-04-04;0;0;17;3;;
00;2021-04-05;0;0;17;3;;
00;2021-04-06;1;0;18;3;;
00;2021-04-07;0;0;18;3;;
00;2021-04-08;0;0;18;3;;
00;2021-04-09;0;0;18;3;;
00;2021-04-10;2;0;20;3;;
00;2021-04-11;0;0;20;3;;
00;2021-04-12;0;0;20;3;;
00;2021-04-13;0;0;20;3;;
00;2021-04-14;0;0;20;3;;
00;2021-04-15;0;0;20;3;;
00;2021-04-16;0;0;20;3;;
00;2021-04-17;0;0;20;3;;
00;2021-04-18;0;0;20;3;;
00;2021-04-19;0;0;20;3;;
00;2021-04-20;0;0;20;3;;
00;2021-04-21;0;0;20;3;;
00;2021-04-22;0;0;20;3;;
00;2021-04-23;0;0;20;3;;
00;2021-04-24;0;0;20;3;;
00;2021-04-25;0;0;20;3;;
00;2021-04-26;0;0;20;3;;
00;2021-04-27;0;0;20;3;;
00;2021-04-28;0;0;20;3;;
00;2021-04-29;0;0;20;3;;
00;2021-04-30;3;0;23;3;;
00;2021-05-01;0;0;23;3;;
00;2021-05-02;0;0;23;3;;
00;2021-05-03;0;0;23;3;;
00;2021-05-04;0;0;23;3;;
00;2021-05-05;0;0;23;3;;
00;2021-05-06;1;0;24;3;;
00;2021-05-07;2;1;26;4;;
00;2021-05-08;0;0;26;4;;
00;2021-05-09;0;0;26;4;;
00;2021-05-10;1;1;27;5;;
00;2021-05-11;0;0;27;5;;
00;2021-05-12;0;0;27;5;;
00;2021-05-13;0;0;27;5;;
00;2021-05-14;0;0;27;5;;
00;2021-05-15;0;0;27;5;;
00;2021-05-16;0;0;27;5;;
00;2021-05-17;0;0;27;5;;
00;2021-05-18;0;0;27;5;;
00;2021-05-19;0;0;27;5;;
00;2021-05-20;0;0;27;5;;
00;2021-05-21;39;44;66;49;;
00;2021-05-22;0;0;66;49;;
00;2021-05-23;0;0;66;49;;
00;2021-05-24;0;0;66;49;;
00;2021-05-25;0;0;66;49;;
00;2021-05-26;0;1;66;50;;
00;2021-05-27;0;2;66;52;;
00;2021-05-28;0;0;66;52;;
00;2021-05-29;639;24;705;76;;
00;2021-05-30;478;31;1183;107;;
00;2021-05-31;0;0;1183;107;;
00;2021-06-01;0;1;1183;108;;
00;2021-06-02;0;1;1183;109;;
00;2021-06-03;0;0;1183;109;;
00;2021-06-04;0;0;1183;109;;
00;2021-06-05;199;22;1382;131;;
00;2021-06-06;221;22;1603;153;;
00;2021-06-07;0;1;1603;154;;
00;2021-06-08;0;0;1603;154;;
00;2021-06-09;0;0;1603;154;;
00;2021-06-10;0;0;1603;154;;
00;2021-06-11;1;2;1604;156;;
00;2021-06-12;0;1;1604;157;;
00;2021-06-13;0;0;1604;157;;
00;2021-06-14;0;2;1604;159;;
00;2021-06-15;0;0;1604;159;;
00;2021-06-16;0;0;1604;159;;
00;2021-06-17;0;0;1604;159;;
00;2021-06-18;0;3;1604;162;;
01;2020-12-27;0;0;0;0;0.0;0.0
01;2020-12-28;0;0;0;0;0.0;0.0
01;2020-12-29;0;0;0;0;0.0;0.0
01;2020-12-30;0;0;0;0;0.0;0.0
01;2020-12-31;0;0;0;0;0.0;0.0
01;2021-01-01;0;0;0;0;0.0;0.0
01;2021-01-02;0;0;0;0;0.0;0.0
01;2021-01-03;0;0;0;0;0.0;0.0
01;2021-01-04;0;0;0;0;0.0;0.0
01;2021-01-05;0;0;0;0;0.0;0.0
01;2021-01-06;1;0;1;0;0.0;0.0
01;2021-01-07;67;0;68;0;0.0;0.0
01;2021-01-08;159;0;227;0;0.0;0.0
01;2021-01-09;2;0;229;0;0.0;0.0
01;2021-01-10;0;0;229;0;0.0;0.0
01;2021-01-11;147;0;376;0;0.1;0.0
01;2021-01-12;316;2;692;2;0.1;0.0
01;2021-01-13;443;1;1135;3;0.2;0.0
01;2021-01-14;513;3;1648;6;0.3;0.0
01;2021-01-15;396;2;2044;8;0.3;0.0
01;2021-01-16;202;0;2246;8;0.3;0.0
01;2021-01-17;127;0;2373;8;0.4;0.0
01;2021-01-18;371;2;2744;10;0.4;0.0
01;2021-01-19;1038;1;3782;11;0.6;0.0
01;2021-01-20;1256;2;5038;13;0.8;0.0
01;2021-01-21;1088;4;6126;17;0.9;0.0
01;2021-01-22;644;0;6770;17;1.0;0.0
01;2021-01-23;222;0;6992;17;1.1;0.0
01;2021-01-24;70;1;7062;18;1.1;0.0
01;2021-01-25;470;1;7532;19;1.1;0.0
01;2021-01-26;738;3;8270;22;1.3;0.0
01;2021-01-27;517;4;8787;26;1.3;0.0
01;2021-01-28;672;54;9459;80;1.4;0.0
01;2021-01-29;634;98;10093;178;1.5;0.0
01;2021-01-30;233;14;10326;192;1.6;0.0
01;2021-01-31;59;0;10385;192;1.6;0.0
01;2021-02-01;444;75;10829;267;1.6;0.0
01;2021-02-02;509;184;11338;451;1.7;0.1
01;2021-02-03;368;298;11706;749;1.8;0.1
01;2021-02-04;474;419;12180;1168;1.9;0.2
01;2021-02-05;434;279;12614;1447;1.9;0.2
01;2021-02-06;257;139;12871;1586;2.0;0.2
01;2021-02-07;2;113;12873;1699;2.0;0.3
01;2021-02-08;501;408;13374;2107;2.0;0.3
01;2021-02-09;764;849;14138;2956;2.2;0.4
01;2021-02-10;939;732;15077;3688;2.3;0.6
01;2021-02-11;784;784;15861;4472;2.4;0.7
01;2021-02-12;630;552;16491;5024;2.5;0.8
01;2021-02-13;158;149;16649;5173;2.5;0.8
01;2021-02-14;0;9;16649;5182;2.5;0.8
01;2021-02-15;429;441;17078;5623;2.6;0.9
01;2021-02-16;647;409;17725;6032;2.7;0.9
01;2021-02-17;510;238;18235;6270;2.8;1.0
01;2021-02-18;587;562;18822;6832;2.9;1.0
01;2021-02-19;575;243;19397;7075;3.0;1.1
01;2021-02-20;200;155;19597;7230;3.0;1.1
01;2021-02-21;0;1;19597;7231;3.0;1.1
01;2021-02-22;429;553;20026;7784;3.0;1.2
01;2021-02-23;478;520;20504;8304;3.1;1.3
01;2021-02-24;433;467;20937;8771;3.2;1.3
01;2021-02-25;807;612;21744;9383;3.3;1.4
01;2021-02-26;865;559;22609;9942;3.4;1.5
01;2021-02-27;480;110;23089;10052;3.5;1.5
01;2021-02-28;20;3;23109;10055;3.5;1.5
01;2021-03-01;611;447;23720;10502;3.6;1.6
01;2021-03-02;943;547;24663;11049;3.8;1.7
01;2021-03-03;929;657;25592;11706;3.9;1.8
01;2021-03-04;1174;621;26766;12327;4.1;1.9
01;2021-03-05;1349;475;28115;12802;4.3;1.9
01;2021-03-06;778;85;28893;12887;4.4;2.0
01;2021-03-07;43;1;28936;12888;4.4;2.0
01;2021-03-08;665;614;29601;13502;4.5;2.1
01;2021-03-09;1329;589;30930;14091;4.7;2.1
01;2021-03-10;1152;514;32082;14605;4.9;2.2
01;2021-03-11;1650;603;33732;15208;5.1;2.3
01;2021-03-12;1996;602;35728;15810;5.4;2.4
01;2021-03-13;1497;69;37225;15879;5.7;2.4
01;2021-03-14;128;55;37353;15934;5.7;2.4
01;2021-03-15;1118;390;38471;16324;5.9;2.5
01;2021-03-16;994;545;39465;16869;6.0;2.6
01;2021-03-17;831;335;40296;17204;6.1;2.6
01;2021-03-18;1272;450;41568;17654;6.3;2.7
01;2021-03-19;1734;511;43302;18165;6.6;2.8
01;2021-03-20;1439;114;44741;18279;6.8;2.8
01;2021-03-21;96;9;44837;18288;6.8;2.8
01;2021-03-22;1552;482;46389;18770;7.1;2.9
01;2021-03-23;2181;631;48570;19401;7.4;3.0
01;2021-03-24;1602;400;50172;19801;7.6;3.0
01;2021-03-25;2895;572;53067;20373;8.1;3.1
01;2021-03-26;2858;582;55925;20955;8.5;3.2
01;2021-03-27;1304;139;57229;21094;8.7;3.2
01;2021-03-28;21;1;57250;21095;8.7;3.2
01;2021-03-29;1921;531;59171;21626;9.0;3.3
01;2021-03-30;2498;729;61669;22355;9.4;3.4
01;2021-03-31;1856;606;63525;22961;9.7;3.5
01;2021-04-01;2538;809;66063;23770;10.1;3.6
01;2021-04-02;2797;668;68860;24438;10.5;3.7
01;2021-04-03;1255;111;70115;24549;10.7;3.7
01;2021-04-04;0;0;70115;24549;10.7;3.7
01;2021-04-05;1253;43;71368;24592;10.9;3.7
01;2021-04-06;2794;777;74162;25369;11.3;3.9
01;2021-04-07;2725;683;76887;26052;11.7;4.0
01;2021-04-08;3237;961;80124;27013;12.2;4.1
01;2021-04-09;3947;1284;84071;28297;12.8;4.3
01;2021-04-10;1809;284;85880;28581;13.1;4.4
01;2021-04-11;41;22;85921;28603;13.1;4.4
01;2021-04-12;2707;1201;88628;29804;13.5;4.5
01;2021-04-13;2895;1271;91523;31075;13.9;4.7
01;2021-04-14;3092;1051;94615;32126;14.4;4.9
01;2021-04-15;3057;1443;97672;33569;14.9;5.1
01;2021-04-16;2847;1551;100519;35120;15.3;5.3
01;2021-04-17;1648;667;102167;35787;15.6;5.4
01;2021-04-18;11;0;102178;35787;15.6;5.4
01;2021-04-19;2032;1511;104210;37298;15.9;5.7
01;2021-04-20;2644;1554;106854;38852;16.3;5.9
01;2021-04-21;2680;1319;109534;40171;16.7;6.1
01;2021-04-22;2827;1510;112361;41681;17.1;6.3
01;2021-04-23;2740;1497;115101;43178;17.5;6.6
01;2021-04-24;1439;638;116540;43816;17.7;6.7
01;2021-04-25;8;0;116548;43816;17.7;6.7
01;2021-04-26;1964;1708;118512;45524;18.0;6.9
01;2021-04-27;2558;1529;121070;47053;18.4;7.2
01;2021-04-28;2497;1556;123567;48609;18.8;7.4
01;2021-04-29;2713;1756;126280;50365;19.2;7.7
01;2021-04-30;2966;2205;129246;52570;19.7;8.0
01;2021-05-01;1468;851;130714;53421;19.9;8.1
