dep;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
01;2020-12-27;2;0;0;2;0;0;0.0;0.0;0.0
01;2020-12-28;0;0;0;2;0;0;0.0;0.0;0.0
01;2020-12-29;0;0;0;2;0;0;0.0;0.0;0.0
01;2020-12-30;0;0;0;2;0;0;0.0;0.0;0.0
01;2020-12-31;0;0;0;2;0;0;0.0;0.0;0.0
01;2021-01-01;2;0;0;4;0;0;0.0;0.0;0.0
01;2021-01-02;1;0;0;5;0;0;0.0;0.0;0.0
01;2021-01-03;0;0;0;5;0;0;0.0;0.0;0.0
01;2021-01-04;2;0;0;7;0;0;0.0;0.0;0.0
01;2021-01-05;2;0;0;9;0;0;0.0;0.0;0.0
01;2021-01-06;1;0;0;10;0;0;0.0;0.0;0.0
01;2021-01-07;67;0;0;77;0;0;0.0;0.0;0.0
01;2021-01-08;159;1;0;236;1;0;0.0;0.0;0.0
01;2021-01-09;2;1;0;238;2;0;0.0;0.0;0.0
01;2021-01-10;1;0;0;239;2;0;0.0;0.0;0.0
01;2021-01-11;148;0;0;387;2;0;0.1;0.0;0.0
01;2021-01-12;320;1;0;707;3;0;0.1;0.0;0.0
01;2021-01-13;444;1;0;1151;4;0;0.2;0.0;0.0
01;2021-01-14;530;3;0;1681;7;0;0.3;0.0;0.0
01;2021-01-15;398;4;0;2079;11;0;0.3;0.0;0.0
01;2021-01-16;202;0;0;2281;11;0;0.3;0.0;0.0
01;2021-01-17;128;0;0;2409;11;0;0.4;0.0;0.0
01;2021-01-18;381;3;0;2790;14;0;0.4;0.0;0.0
01;2021-01-19;1041;2;0;3831;16;0;0.6;0.0;0.0
01;2021-01-20;1262;4;0;5093;20;0;0.8;0.0;0.0
01;2021-01-21;1101;6;0;6194;26;0;0.9;0.0;0.0
01;2021-01-22;652;4;0;6846;30;0;1.0;0.0;0.0
01;2021-01-23;223;0;0;7069;30;0;1.1;0.0;0.0
01;2021-01-24;70;1;0;7139;31;0;1.1;0.0;0.0
01;2021-01-25;485;1;0;7624;32;0;1.2;0.0;0.0
01;2021-01-26;744;5;0;8368;37;0;1.3;0.0;0.0
01;2021-01-27;518;6;0;8886;43;0;1.4;0.0;0.0
01;2021-01-28;685;57;0;9571;100;0;1.5;0.0;0.0
01;2021-01-29;640;102;0;10211;202;0;1.6;0.0;0.0
01;2021-01-30;237;15;0;10448;217;0;1.6;0.0;0.0
01;2021-01-31;64;0;0;10512;217;0;1.6;0.0;0.0
01;2021-02-01;459;73;0;10971;290;0;1.7;0.0;0.0
01;2021-02-02;519;185;0;11490;475;0;1.7;0.1;0.0
01;2021-02-03;377;299;0;11867;774;0;1.8;0.1;0.0
01;2021-02-04;480;417;0;12347;1191;0;1.9;0.2;0.0
01;2021-02-05;444;281;0;12791;1472;0;1.9;0.2;0.0
01;2021-02-06;264;143;0;13055;1615;0;2.0;0.2;0.0
01;2021-02-07;2;111;0;13057;1726;0;2.0;0.3;0.0
01;2021-02-08;510;404;0;13567;2130;0;2.1;0.3;0.0
01;2021-02-09;776;857;0;14343;2987;0;2.2;0.5;0.0
01;2021-02-10;957;720;0;15300;3707;0;2.3;0.6;0.0
01;2021-02-11;796;774;0;16096;4481;0;2.5;0.7;0.0
01;2021-02-12;640;552;0;16736;5033;0;2.5;0.8;0.0
01;2021-02-13;161;151;0;16897;5184;0;2.6;0.8;0.0
01;2021-02-14;2;9;0;16899;5193;0;2.6;0.8;0.0
01;2021-02-15;438;445;0;17337;5638;0;2.6;0.9;0.0
01;2021-02-16;662;422;0;17999;6060;0;2.7;0.9;0.0
01;2021-02-17;526;251;0;18525;6311;0;2.8;1.0;0.0
01;2021-02-18;591;569;0;19116;6880;0;2.9;1.0;0.0
01;2021-02-19;580;249;0;19696;7129;0;3.0;1.1;0.0
01;2021-02-20;201;154;0;19897;7283;0;3.0;1.1;0.0
01;2021-02-21;1;1;0;19898;7284;0;3.0;1.1;0.0
01;2021-02-22;429;558;0;20327;7842;0;3.1;1.2;0.0
01;2021-02-23;484;523;0;20811;8365;0;3.2;1.3;0.0
01;2021-02-24;435;462;0;21246;8827;0;3.2;1.3;0.0
